AnimalID,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
A713063,Transfer,Partner,Dog,Spayed Female,1 year,Labrador Retriever Mix,Tan/White
A667520,Transfer,Partner,Dog,Neutered Male,4 years,Shih Tzu/Miniature Poodle,Apricot/White
A685145,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Blue/White
A716488,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Red
A667537,Adoption,,Dog,Spayed Female,2 months,Australian Cattle Dog Mix,Red Merle/Black
A694601,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Black
A638060,Adoption,,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Black/White
A672067,Return_to_owner,,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Brown Tabby
A684664,Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown/White
A691531,Transfer,Partner,Dog,Intact Male,2 months,Australian Cattle Dog Mix,White/Brown
A688600,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie
A704032,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
A703630,Adoption,Foster,Dog,Neutered Male,4 years,German Shepherd Mix,Brown
A668671,Transfer,Partner,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Brown Tabby/White
A696247,Adoption,,Dog,Spayed Female,2 years,Pointer Mix,Chocolate/White
A664380,Transfer,SCRP,Cat,Intact Female,6 months,Domestic Medium Hair Mix,Calico
A678185,Transfer,Partner,Dog,Spayed Female,2 years,Miniature Poodle Mix,Black/Gray
A687055,Return_to_owner,,Dog,Spayed Female,10 years,Collie Smooth/Chow Chow,Sable
A693594,Transfer,SCRP,Cat,Intact Male,6 months,Domestic Shorthair Mix,Black/White
A675563,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Calico
A696819,Adoption,,Dog,Neutered Male,6 months,Cocker Spaniel Mix,Sable
A671201,Return_to_owner,,Dog,Neutered Male,8 years,Chihuahua Shorthair Mix,Tricolor
A715573,Adoption,,Dog,Neutered Male,6 months,Labrador Retriever Mix,Buff
A685899,Transfer,Partner,Cat,Intact Male,3 months,Siamese Mix,Seal Point
A669510,Adoption,,Dog,Spayed Female,1 year,Rottweiler/Labrador Retriever,Black/Tan
A697892,Adoption,Foster,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Brown/Black
A678958,Adoption,,Dog,Neutered Male,2 months,Boxer Mix,Tricolor
A679113,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Blue Tabby
A671079,Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tan
A687180,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby/White
A686632,Return_to_owner,,Cat,Neutered Male,9 months,Domestic Shorthair Mix,White/Brown Tabby
A693999,Transfer,Partner,Dog,Spayed Female,4 years,Rat Terrier Mix,Black/White
A691614,Adoption,,Dog,Neutered Male,4 months,German Shepherd/Siberian Husky,Red/White
A683070,Transfer,Partner,Cat,Intact Male,3 days,Domestic Shorthair Mix,White
A703781,Transfer,Partner,Dog,Intact Male,6 years,Dachshund,Blue Merle/White
A668803,Adoption,Foster,Dog,Spayed Female,2 months,Border Collie/Labrador Retriever,Black/White
A675983,Transfer,SCRP,Cat,Intact Female,8 months,Domestic Shorthair Mix,Blue Tabby
A684825,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White
A667828,Transfer,SCRP,Cat,Intact Female,4 months,Domestic Shorthair Mix,Black
A707611,Adoption,,Cat,Intact Female,2 months,Domestic Shorthair Mix,Torbie
A677885,Return_to_owner,,Dog,Intact Female,2 years,Pit Bull Mix,Fawn
A675622,Adoption,,Dog,Neutered Male,4 months,Collie Smooth/Labrador Retriever,Tricolor
A720143,Transfer,SCRP,Cat,Intact Male,1 year,Domestic Shorthair Mix,Brown Tabby
A701793,Adoption,Foster,Cat,Spayed Female,3 months,Siamese Mix,Lynx Point/White
A682824,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black/White
A711494,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Orange Tabby/White
A686319,Adoption,,Dog,Neutered Male,5 years,Plott Hound/Rhod Ridgeback,Brown Brindle
A671251,Return_to_owner,,Dog,Spayed Female,2 years,Pit Bull Mix,Fawn/White
A684978,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Brown Tabby
A689449,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black
A715812,Adoption,,Dog,Spayed Female,10 months,Chihuahua Shorthair Mix,Tan/White
A681003,Transfer,Partner,Dog,Neutered Male,2 years,Pointer/Labrador Retriever,Black/White
A715346,Adoption,,Dog,Spayed Female,10 months,Anatol Shepherd/Great Pyrenees,White
A683732,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Blue
A679956,Return_to_owner,,Dog,Neutered Male,1 year,Anatol Shepherd,Fawn/Black
A695297,Adoption,,Cat,Spayed Female,7 months,Domestic Shorthair Mix,Brown Tabby/White
A695950,Adoption,Foster,Dog,Spayed Female,2 years,Pit Bull Mix,Brown/White
A694278,Transfer,Partner,Dog,Spayed Female,7 years,Great Dane,Black/White
A707887,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A710227,Euthanasia,Suffering,Cat,Neutered Male,12 years,Domestic Shorthair Mix,Black/White
A686918,Transfer,Partner,Dog,Intact Female,3 years,Australian Cattle Dog Mix,Tricolor
A693739,Transfer,Partner,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black/White
A711807,Adoption,,Dog,Spayed Female,2 years,Chinese Sharpei/Australian Cattle Dog,Red Tick/White
A677157,Return_to_owner,,Dog,Intact Female,12 years,Labrador Retriever Mix,Yellow
A697921,Adoption,,Dog,Spayed Female,1 year,Flat Coat Retriever Mix,Black
A686691,Transfer,Partner,Dog,Neutered Male,3 years,Labrador Retriever Mix,Yellow
A678627,Adoption,,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Calico
A698117,Transfer,Partner,Dog,Unknown,6 days,Labrador Retriever Mix,White
A656110,Return_to_owner,,Dog,Spayed Female,9 months,Rat Terrier Mix,Tricolor
A690723,Adoption,,Cat,Spayed Female,2 months,Domestic Longhair Mix,Black/White
A678099,Euthanasia,Aggressive,Dog,Neutered Male,2 years,Akita/Pit Bull,Tan/White
A717989,Return_to_owner,,Dog,Neutered Male,7 years,American Bulldog Mix,White
A673784,Transfer,Partner,Dog,Neutered Male,4 months,Labrador Retriever Mix,Blue
A699927,Adoption,,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Orange Tabby
A671889,Return_to_owner,,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,Tan
A697627,Adoption,,Dog,Spayed Female,2 years,Pointer/Labrador Retriever,Chocolate/White
A685945,Adoption,,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Tan/White
A689951,Adoption,,Cat,Neutered Male,5 months,Siamese Mix,Flame Point
A699499,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black/White
A715735,Transfer,Partner,Dog,Intact Male,1 year,Labrador Retriever,Buff/Tan
A688501,Transfer,Partner,Cat,Neutered Male,4 months,Domestic Medium Hair Mix,Black
A672263,Transfer,Partner,Dog,Spayed Female,2 years,Chihuahua Shorthair/Rat Terrier,White/Tan
A672744,Euthanasia,Aggressive,Dog,Intact Male,3 years,Rottweiler Mix,Black/Tan
A701165,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair,Blue
A702973,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Black/White
A705338,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie
A696609,Transfer,Partner,Dog,Spayed Female,2 years,Labrador Retriever,Black
A714481,Adoption,,Dog,Neutered Male,1 year,Boxer Mix,Brown/White
A685178,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Blue Tabby
A689596,Adoption,,Dog,Neutered Male,2 years,Jack Russell Terrier Mix,White/Tan
A714546,Return_to_owner,,Dog,Intact Male,9 months,Pit Bull/Dogue De Bordeaux,Red/White
A671352,Adoption,,Dog,Neutered Male,3 years,Labrador Retriever/Chow Chow,Brown
A705656,Euthanasia,Suffering,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie
A695943,Adoption,,Dog,Neutered Male,2 years,Bernese Mountain Dog/Rottweiler,Tricolor
A719517,Transfer,SCRP,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby
A682535,Transfer,Partner,Dog,Neutered Male,4 months,Plott Hound Mix,Brown Brindle/Red Tick
A713263,Return_to_owner,,Dog,Intact Male,3 years,English Bulldog,Brown Brindle
A681679,Transfer,Partner,Dog,Neutered Male,1 year,Pit Bull Mix,Brown/White
A687906,Transfer,Partner,Cat,Intact Male,1 month,Domestic Medium Hair Mix,Brown Tabby/White
A678536,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White/Brown
A718585,Transfer,Partner,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/Tan
A543073,Return_to_owner,,Dog,Spayed Female,9 years,Chihuahua Shorthair,Brown
A697959,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Brown
A715378,Adoption,,Dog,Spayed Female,6 months,Pointer Mix,White/Blue
A697281,Adoption,,Dog,Neutered Male,3 months,Chihuahua Longhair/Italian Greyhound,Tricolor
A681576,Adoption,Foster,Dog,Neutered Male,1 month,Labrador Retriever/Blue Lacy,Chocolate/White
A716400,Transfer,Partner,Dog,Intact Female,1 year,Yorkshire Terrier Mix,Black/Tan
A677460,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,Blue/White
A675049,Return_to_owner,,Dog,Spayed Female,3 years,Labrador Retriever Mix,Black/White
A710655,Adoption,,Cat,Intact Male,2 months,Siamese Mix,Lilac Point
A660046,Return_to_owner,,Dog,Spayed Female,2 years,American Staffordshire Terrier Mix,Blue/White
A660910,Return_to_owner,,Dog,Neutered Male,2 years,Dachshund/Catahoula,Brown Brindle/White
A686377,Adoption,,Dog,Neutered Male,2 months,Dachshund Wirehair Mix,Brown/Black
A679631,Euthanasia,Suffering,Cat,Spayed Female,12 years,Domestic Longhair Mix,Tortie
A671682,Transfer,SCRP,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Blue
A695654,Euthanasia,Suffering,Dog,Intact Female,8 months,Labrador Retriever Mix,Black
A718566,Euthanasia,Suffering,Cat,Intact Female,10 years,Domestic Shorthair Mix,Brown Tabby/White
A680351,Adoption,,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Orange Tabby
A680506,Adoption,,Dog,Neutered Male,3 months,Chihuahua Shorthair Mix,Buff/White
A650694,Return_to_owner,,Dog,Neutered Male,1 year,Blue Lacy/Pit Bull,Blue/White
A681414,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Tortie
A714972,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby
A682833,Adoption,Foster,Cat,Spayed Female,3 months,Siamese Mix,Lilac Point
A698953,Adoption,,Dog,Spayed Female,7 years,Miniature Poodle Mix,White
A696584,Adoption,,Dog,Spayed Female,2 years,Dachshund Mix,Brown
A690020,Return_to_owner,,Dog,Intact Female,4 months,Boxer Mix,Brown Brindle/White
A716340,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
A707004,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,White/Orange Tabby
A667031,Transfer,Partner,Cat,Spayed Female,2 years,Exotic Shorthair Mix,White/Orange Tabby
A667129,Adoption,,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Black/White
A700119,Transfer,Partner,Cat,Intact Female,4 days,Domestic Shorthair Mix,Torbie
A676270,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
A684362,Adoption,,Cat,Spayed Female,5 months,Siamese Mix,Tortie Point
A712984,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A688544,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby/White
A663346,Euthanasia,Aggressive,Dog,Spayed Female,1 year,Pit Bull Mix,Black/White
A665221,Transfer,Partner,Dog,Intact Male,1 month,Australian Cattle Dog Mix,Brown/Black
A667366,Return_to_owner,,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Black/Tan
A657652,Adoption,,Dog,Neutered Male,3 years,Labrador Retriever/Chinese Sharpei,Black
A611032,Return_to_owner,,Dog,Intact Male,6 years,Basset Hound,Tricolor
A707464,Adoption,,Dog,Intact Male,8 months,Pit Bull Mix,White/Blue
A687966,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby/White
A643703,Return_to_owner,,Dog,Neutered Male,3 years,Cocker Spaniel Mix,Yellow
A668595,Return_to_owner,,Dog,Intact Male,4 weeks,Chihuahua Shorthair Mix,Tricolor
A716197,Return_to_owner,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie
A713418,Transfer,Partner,Dog,Intact Male,2 months,Australian Cattle Dog Mix,Buff/White
A711562,Euthanasia,Suffering,Dog,Intact Male,1 year,Dachshund/Chihuahua Shorthair,Black
A716766,Return_to_owner,,Dog,Neutered Male,5 years,Cocker Spaniel Mix,Black
A616576,Return_to_owner,,Dog,Spayed Female,7 years,Blue Lacy/Collie Smooth,Tricolor
A705109,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Longhair Mix,Blue
A663819,Return_to_owner,,Dog,Neutered Male,3 years,Pit Bull Mix,Black/White
A689629,Adoption,,Cat,Intact Female,1 month,Domestic Shorthair Mix,Torbie
A713084,Adoption,,Dog,Neutered Male,6 years,Miniature Poodle Mix,Buff
A699468,Transfer,Partner,Dog,Intact Female,2 months,Labrador Retriever Mix,Chocolate/White
A700335,Euthanasia,Rabies Risk,Dog,Neutered Male,2 years,Pit Bull Mix,White/Brown
A713668,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Orange Tabby/White
A695428,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black/White
A653055,Return_to_owner,,Dog,Spayed Female,2 years,Black/Tan Hound Mix,Black/Tan
A682724,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
A713886,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
A668396,Euthanasia,Medical,Cat,Neutered Male,8 years,Siamese Mix,Lynx Point
A717176,Transfer,Partner,Dog,Unknown,1 week,Labrador Retriever Mix,White
A707573,Return_to_owner,,Dog,Neutered Male,12 years,Chihuahua Shorthair Mix,White
A690543,Return_to_owner,,Dog,Spayed Female,1 year,Pit Bull Mix,Chocolate/White
A704459,Return_to_owner,,Dog,Spayed Female,11 years,Norfolk Terrier/Border Terrier,Cream
A687643,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Blue Tabby/White
A675640,Return_to_owner,,Dog,Neutered Male,2 years,Border Collie Mix,Black/White
A694435,Transfer,Partner,Dog,Neutered Male,2 years,German Shepherd Mix,Black/Tan
A668653,Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black
A705804,Return_to_owner,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Brown
A706506,Transfer,Partner,Cat,Unknown,5 days,Domestic Shorthair Mix,Black
A702756,Euthanasia,Suffering,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,White/Brown Tabby
A674264,Adoption,,Dog,Spayed Female,10 months,Jack Russell Terrier Mix,Tricolor
A665741,Return_to_owner,,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Brown Tabby
A510475,Return_to_owner,,Dog,Neutered Male,7 years,Pit Bull Mix,Red/White
A641103,Return_to_owner,,Dog,Intact Male,3 years,Siberian Husky,Black/White
A660275,Return_to_owner,,Dog,Spayed Female,2 years,Scottish Terrier/Cairn Terrier,Black
A716089,Return_to_owner,,Cat,Neutered Male,2 years,Domestic Medium Hair Mix,Blue Tabby
A717706,Return_to_owner,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Red
A716729,Adoption,,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Calico
A690333,Transfer,SCRP,Cat,Unknown,8 months,Domestic Shorthair Mix,Black
A688552,Adoption,Foster,Cat,Intact Male,3 months,Domestic Longhair Mix,Brown Tabby
A698495,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan
A658728,Adoption,,Cat,Spayed Female,4 months,Domestic Medium Hair Mix,Tortie/White
A672515,Transfer,SCRP,Cat,Intact Male,1 year,Domestic Shorthair Mix,Cream Tabby
A686675,Transfer,Partner,Dog,Neutered Male,1 year,Pit Bull Mix,Tan/White
A707682,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
A667942,Adoption,,Dog,Spayed Female,8 months,Labrador Retriever Mix,Black
A709224,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico
A687003,Return_to_owner,,Dog,Neutered Male,5 years,Chihuahua Longhair Mix,Cream
A711255,Transfer,Partner,Dog,Intact Female,4 weeks,Chihuahua Shorthair Mix,White
A680426,Return_to_owner,,Dog,Spayed Female,3 years,Labrador Retriever Mix,Yellow
A697537,Adoption,,Dog,Spayed Female,3 years,Pit Bull Mix,Black/White
A695905,Adoption,,Dog,Spayed Female,2 months,Border Collie Mix,Tricolor
A705731,Transfer,Partner,Dog,Intact Male,3 months,Pit Bull Mix,White/Brown
A700025,Return_to_owner,,Dog,Intact Female,10 years,Yorkshire Terrier Mix,Black/Tricolor
A624771,Return_to_owner,,Dog,Neutered Male,5 years,American Bulldog Mix,Tan
A715798,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby
A526641,Transfer,Partner,Dog,Neutered Male,7 years,Boxer,Brown/White
A695768,Return_to_owner,,Dog,Spayed Female,1 year,Miniature Poodle,Apricot
A709277,Adoption,,Cat,Intact Male,3 months,Domestic Shorthair Mix,Orange Tabby
A586923,Return_to_owner,,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Black/White
A682900,Return_to_owner,,Dog,Intact Female,3 years,Jack Russell Terrier Mix,White/Brown
A671435,Adoption,Foster,Dog,Neutered Male,1 month,Chihuahua Shorthair Mix,Brown/Black
A701297,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Brown Tabby
A711800,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby
A707972,Transfer,Partner,Cat,Unknown,6 days,Domestic Shorthair Mix,Brown Tabby
A697766,Return_to_owner,,Dog,Spayed Female,1 year,German Shepherd Mix,Tan/Black
A665644,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Calico
A664059,Return_to_owner,,Cat,Spayed Female,8 years,Russian Blue Mix,Blue
A676752,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie/White
A720466,Return_to_owner,,Dog,Neutered Male,10 years,Doberman Pinsch,Black/Tan
A716110,Return_to_owner,,Cat,Neutered Male,4 months,Devon Rex Mix,Cream
A703750,Return_to_owner,,Dog,Neutered Male,3 years,Treeing Walker Coonhound Mix,Tricolor
A696236,Transfer,Partner,Dog,Intact Male,2 years,Australian Cattle Dog/Labrador Retriever,Black
A670716,Return_to_owner,,Dog,Spayed Female,8 years,Australian Cattle Dog Mix,Sable
A673103,Adoption,,Dog,Spayed Female,3 years,Yorkshire Terrier/Maltese,White/Gray
A688281,Adoption,,Dog,Neutered Male,9 months,Rhod Ridgeback/Labrador Retriever,Red/Tan
A666109,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White
A700948,Euthanasia,Suffering,Dog,Unknown,9 years,Australian Cattle Dog/Chinese Sharpei,Tan/Brown
A689384,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever/Plott Hound,Brown Brindle
A671054,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Orange Tabby
A679167,Euthanasia,Suffering,Cat,Intact Male,4 years,Domestic Shorthair Mix,Orange Tabby
A702935,Return_to_owner,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,White/Tan
A680027,Transfer,Partner,Dog,Intact Male,2 weeks,Pit Bull Mix,Brown/White
A691171,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby
A693032,Adoption,,Cat,Neutered Male,10 years,Domestic Medium Hair Mix,Orange Tabby/White
A663585,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black
A586222,Return_to_owner,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,White/Tricolor
A692591,Transfer,Partner,Cat,Neutered Male,6 years,Domestic Shorthair Mix,White/Cream Tabby
A675402,Transfer,Partner,Dog,Spayed Female,7 years,German Shepherd/Collie Rough,Brown/Black
A700765,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
A657197,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby
A715843,Transfer,Partner,Dog,Neutered Male,5 years,Labrador Retriever Mix,Brown
A691568,Return_to_owner,,Dog,Neutered Male,6 years,Chihuahua Shorthair Mix,Black/White
A665953,Euthanasia,Suffering,Cat,Neutered Male,8 years,Domestic Medium Hair Mix,Black/White
A681155,Euthanasia,Suffering,Dog,Neutered Male,2 years,Labrador Retriever/Black Mouth Cur,Tan/White
A714509,Adoption,,Cat,Neutered Male,2 months,Snowshoe Mix,Lynx Point
A702846,Adoption,,Dog,Spayed Female,4 months,Chinese Sharpei/Airedale Terrier,Red
A685087,Euthanasia,Suffering,Cat,Unknown,1 year,Domestic Shorthair Mix,Black/White
A718953,Adoption,,Dog,Neutered Male,2 months,Dachshund/Chihuahua Shorthair,Black
A668708,Adoption,,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Brown Tabby/White
A703243,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White
A706454,Return_to_owner,,Cat,Neutered Male,3 years,Domestic Shorthair Mix,White/Black
A668697,Return_to_owner,,Dog,Neutered Male,3 years,Cardigan Welsh Corgi Mix,Tricolor
A717656,Adoption,,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Tan
A681176,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby
A663020,Adoption,Foster,Dog,Spayed Female,2 months,Chihuahua Shorthair Mix,Black
A717029,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,White
A717056,Return_to_owner,,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Blue/White
A705794,Died,In Kennel,Cat,Intact Male,3 weeks,Snowshoe Mix,Seal Point
A695093,Adoption,,Dog,Neutered Male,7 years,Harrier,Brown/Tricolor
A707083,Transfer,Partner,Cat,Intact Female,2 months,Domestic Longhair Mix,Tortie
